id,lat,lon,x,y,diam
09-1-124936,-32.0751,118.294,3587070.415074339,-972624.4971896369,7158.15
07-1-117119,-30.8041,37.3922,1133856.7837298824,-934083.5188005429,3574.3999999999996
03-1-057011,-18.9353,-122.76400000000001,-3722615.7914702874,-574181.7372863977,3133.5099999999998
03-1-098287,-32.839,-175.971,-5336030.297488009,-995788.5045786449,5074.3099999999995
07-1-170875,-44.8888,13.2041,400392.5513355122,-1361178.8125195615,3250.54
06-1-000892,21.2531,84.5726,2564524.5860814243,644465.1988994913,9263.91
03-1-102574,-35.0016,-129.812,-3936334.765259693,-1061365.7822059104,3389.15
03-1-002973,-0.345847,-146.738,-4449587.794538847,-10487.239774140826,4690.0199999999995
09-1-051977,-12.9833,111.965,3395153.9302398968,-393697.15556185995,4023.77
09-1-147136,-40.5133,110.304,3344786.845185384,-1228498.9927386951,4989.02
09-1-063514,-16.3287,138.077,4186957.2565152883,-495140.89207080967,4010.5700000000006
08-1-014492,3.71685,162.758,4935367.8683337215,112707.345024,4338.2300000000005
02-1-083026,22.9889,-156.022,-4731109.77987665,697100.4705657301,4529.93
07-1-080838,-21.3907,70.3525,2133323.5107149766,-648637.6919178542,3728.31
07-1-202161,-51.551,76.2002,2310645.366990275,-1563199.03771533,3989.6699999999996
04-1-086917,42.1398,-86.33300000000003,-2617905.812168098,1277819.9222035743,3009.78
03-1-154414,-57.2829,-158.036,-4792181.007630887,-1737009.4500115123,4095.7
03-1-099967,-34.0865,-148.123,-4491585.634876294,-1033616.8842327714,3510.2000000000003
06-1-088198,43.6486,86.7284,2629895.6649258058,1323571.793323531,5013.38
08-1-211342,57.5866,120.004,3638923.3442996345,1746218.6515353264,5137.27
02-1-056353,14.8699,-139.474,-4229318.977057825,450905.18847206037,7795.01
07-2-002351,-30.561,8.26959,250761.67543404235,-926711.9123124322,3203.8199999999997
05-1-091624,-42.6932,-5.410000000000025,-164049.32579464946,-1294600.8643282985,3171.78
03-1-158155,-58.666,-92.582,-2807396.4289686074,-1778949.6759831535,5071.72
08-1-091641,22.2193,170.819,5179804.39610279,673763.6200793046,3986.64
05-1-001483,-52.4738,-65.868,-1997338.4457378779,-1591181.425486735,8292.529999999999
03-1-094135,-32.177,-143.023,-4336936.547713131,-975714.4465978578,4109.219999999999
09-1-002717,-0.0882182,111.022,3366559.010789924,-2675.0713923877033,3276.27
03-1-019276,-5.7694,-145.504,-4412168.780115446,-174947.53793708803,6680.240000000001
08-1-009247,2.18416,111.025,3366649.980841196,66231.04906241033,8730.85
09-1-054684,-13.5203,118.128,3582036.7389039304,-409980.7947396282,3025.88
07-1-187127,-48.6365,44.9286,1362385.6818664426,-1474821.632904146,3194.82
03-1-058942,-20.0914,-170.338,-5165218.864548774,-609238.5627117569,4670.17
09-1-085153,-22.6273,104.043,3154932.3481797846,-686135.5470523576,5733.37
09-1-092349,-23.6768,94.8098,2874950.789043527,-717959.9033225024,3339.39
08-1-085554,21.931,121.148,3673613.257184861,665021.3981520223,6474.32
02-1-033920,9.53089,-169.142,-5128952.137441492,289008.5173240221,5721.04
08-1-059813,16.5821,123.537,3746055.741348155,502824.82906828914,9584.03
09-1-154985,-41.8228,156.302,4739600.317995412,-1268207.420119119,7374.4
05-1-068096,-30.3499,-3.5600000000000023,-107951.12750997223,-920310.6530378944,3068.38
08-1-101171,24.5385,157.559,4777716.769478569,744089.5343829921,6018.54
08-1-090174,22.5645,147.39,4469358.619015392,684231.240645721,7457.09
05-1-026218,-10.1541,-4.958000000000027,-150343.17140293395,-307906.3325418563,3260.78
07-1-043713,-11.5406,84.1785,2552574.153679267,-349949.6579049395,3274.82
07-1-063282,-17.6447,66.6847,2022103.526029281,-535046.4212289903,3634.11
03-1-014945,-4.86902,-161.258,-4889882.842697497,-147644.9996821923,4943.81
09-1-076904,-20.6081,90.4947,2744102.49962828,-624906.6378759149,3121.13
09-1-104459,-26.6028,149.395,4530156.936615813,-806686.0266635638,4194.04
05-1-058100,-26.7099,-28.418000000000006,-861728.9723534802,-809933.6574939903,4891.41
09-1-032039,-7.02836,138.529,4200663.410907003,-213123.42318707527,6359.39
05-1-105641,-47.8518,-1.4239999999999782,-43180.4510039882,-1451026.8998263162,4298.57
05-1-105402,-47.5453,-8.646999999999991,-262206.0111176203,-1441732.7929213142,3803.47
09-1-015797,-3.31042,152.616,4627828.448331998,-100383.02571111293,4180.29
09-1-078146,-20.0274,123.034,3730803.096084807,-607297.8682846113,5159.87
09-1-015615,-2.35722,149.052,4519756.027420328,-71478.80808681363,4835.740000000001
04-1-000163,53.3747,-23.589,-715297.5131552621,1618499.731883851,8717.18
03-1-038103,-13.0907,-157.111,-4764131.908488548,-396953.88339741365,3015.6
02-1-008211,1.91947,-164.374,-4984370.402619147,58204.761438642214,8578.849999999999
07-1-144157,-37.6737,64.605,1959040.0541521772,-1142392.80687428,3687.69
08-1-206436,55.0679,90.5683,2746334.2982194973,1669843.2288220213,3326.2
07-1-015310,-4.79395,66.1322,2005349.8749199382,-145368.6257658514,4510.19
09-1-084924,-22.1231,97.3744,2952718.053541301,-670846.5137685015,3831.3
02-1-141796,43.5923,-101.73700000000002,-3085006.7021016967,1321864.5886946516,7931.03
02-1-124602,35.9719,-103.00299999999999,-3123396.0637386683,1090788.5291224625,4356.6900000000005
08-1-053793,14.1437,152.642,4628616.855443025,428884.37139404303,7555.34
02-1-057135,15.5088,-158.355,-4801854.156416191,470278.77705804945,5370.59
07-1-079496,-21.3566,88.948,2697201.373527248,-647603.6656683908,3050.73
02-1-048931,13.072,-166.656,-5053568.288287056,396386.836744482,6133.75
07-2-003635,-57.9643,7.91526,240017.2026782534,-1757671.7809905277,5382.4800000000005
09-1-041364,-9.28864,177.306,5376511.970304249,-281662.6856837718,3627.7400000000002
08-1-061064,15.8182,146.098,4430180.850267392,479660.8216792813,6630.61
03-1-098320,-32.0252,-177.499,-5382364.376936109,-971111.3620034719,3020.4300000000003
08-1-043326,10.479,104.932,3181889.8067068537,317758.3890946624,4932.88
05-1-123541,-57.2943,-87.54000000000002,-2654506.0961300465,-1737355.1362063475,3277.6299999999997
03-1-104973,-36.1275,-163.914,-4970421.661424038,-1095506.8424484604,7391.8
06-1-028314,11.5102,70.2512,2130251.75531701,349027.82805204537,3715.75
08-1-160330,39.792,171.099,5188294.934221552,1206626.7600777561,4439.19
03-1-028878,-10.0361,-126.25899999999999,-3828595.9012026894,-304328.1771918066,6442.5
08-1-211142,57.0214,114.341,3467202.210847676,1729079.893875597,4240.35
02-1-054346,14.3439,-98.404,-2983938.9751380053,434955.10614895774,3432.87
03-1-112924,-38.838,-122.75399999999999,-3722312.557966045,-1177698.2837731175,4003.2300000000005
